T1,T2,T3,T4
84.2697,91.4634,60.4839,59.2885
84.2697,91.4634,60.4839,59.2885
84.0619,91.1834,60.4606,59.2885
85.6542,91.8788,60.3391,58.8973
87.2093,91.1772,60.0762,58.4359
87.1246,89.7992,59.2526,58.7312
86.8726,90.3571,58.6644,59.1926
86.7052,92.0227,59.1295,58.9342
87.5899,91.9105,59.6737,58.4728
89.1475,91.141,60.776,57.8148
89.8204,91.9571,61.5625,57.041
89.8204,91.8744,60.6983,56.5014
90.4375,90.1645,60.7558,55.9733
91.7605,89.8047,64.6925,55.903
93.1081,91.6464,69.0724,56.2174
94.3291,93.1426,71.9005,56.7069
95.8003,93.4519,72.0397,57.6943
97.5119,92.3365,69.9949,58.4568
98.7457,91.5574,67.3286,58.8014
98.904,92.0669,65.0251,59.4547
98.3437,92.2745,64.196,61.1772
98.3075,92.7285,62.906,61.8198
98.8313,94.4017,61.0068,59.6395
99.0789,95.7123,59.2666,57.9757
98.8157,95.2184,57.7952,57.315
98.2998,95.2685,56.9915,56.8477
97.7311,96.3945,57.7653,57.0645
97.6471,96.8731,58.2358,57.2652
97.7922,97.1613,57.462,57.5967
97.2974,97.054,56.8552,57.9151
96.2042,97.7903,57.5159,57.8072
95.2318,98.6842,58.1395,57.6959
94.9367,98.6842,59.7941,57.3042
95.0867,98.8201,61.4044,56.8671
95.389,99.1469,59.9769,58.7233
95.5414,99.3377,58.5938,61.1785
95.2439,99.3377,58.4807,61.2107
94.9415,99.3377,58.3667,60.5884
95.3557,99.1469,59.4716,59.4899
96.3423,98.9404,60.6531,58.3177
97.1563,99.0789,59.8142,57.8776
97.4026,98.9587,58.8616,57.5434
96.7028,99.3053,58.3032,58.0224
96.5516,99.7168,57.7376,58.8144
97.9837,99.4225,59.0713,58.6766
98.9879,99.7811,60.7129,58.1066
97.6312,101.133,59.9371,58.0485
95.4064,102.041,58.7462,58.2738
93.8603,101.372,58.88,58.9334
93.0552,100.954,59.2274,59.9925
94.6012,101.278,60.9969,59.6524
95.8476,101.495,63.1322,58.1461
95.7692,101.839,62.1569,57.3197
95.9236,102.041,60.6192,56.9932
95.7692,102.041,59.9292,56.8562
95.9211,102.041,59.3316,56.9642
95.8501,102.041,60.5066,57.1993
94.6703,102.228,61.8541,57.8651
93.0993,102.578,61.0235,58.7626
91.972,102.67,60.0317,60.8298
91.7821,102.32,59.5427,62.0315
91.7911,102.041,59.0702,60.3091
90.807,102.041,60.1878,58.761
89.3196,101.581,61.398,57.5353
88.1511,101.059,60.8681,56.5658
88.7762,101.174,60.2508,56.2489
90.2265,101.166,59.8853,55.9701
90.8066,99.5098,59.5267,56.8106
91.2284,98.0392,61.4931,57.6716
92.4238,97.8279,63.4416,57.3007
93.243,96.9769,62.7021,56.8636
92.8472,95.6878,61.8881,56.4042
92.5926,95.2898,61.2607,55.8761
91.7778,95.2657,61.0743,55.9608
91.2974,93.4809,63.0375,56.2753
91.6364,91.1667,64.1869,56.391
91.2952,90.3614,62.7235,56.391
91.771,88.0565,61.3585,56.2339
93.2285,85.8787,60.3748,55.8162
93.3199,85.819,60.123,55.5556
91.8799,84.4828,61.1067,55.5556
91.2239,83.5102,61.4131,55.573
92.4055,83.5912,60.6693,55.8851
93.8716,83.184,59.8359,56.1798
94.5825,83.0755,58.8983,56.2769
94.5594,83.1042,58.4954,56.3825
94.9453,82.674,58.84,57.2633
96.2412,82.6416,58.7827,58.3647
96.6879,82.6266,57.9908,57.9332
95.8295,82.1936,57.4153,57.0455
94.7819,82.2086,57.1968,57.2357
93.4731,81.7388,57.2415,57.8964
92.7997,80.637,58.6048,58.6679
92.963,80.2139,59.761,59.5981
92.6996,80.2139,59.761,59.3446
91.9648,80.2415,59.713,58.1908
91.2417,80.4571,59.36,57.479
91.9312,80.7847,59.1294,57.042
93.9548,81.0026,59.8438,56.7379
95.3044,81.0811,60.5134,56.5243
95.2511,81.0811,60.7592,56.5249
94.5358,81.3063,60.6761,57.0651
93.8093,82.4324,58.7054,57.598
93.2287,83.5102,57.0087,58.3899
92.2065,84.1379,56.4766,58.9397
92.1588,85.3978,55.9701,58.0381
93.6376,85.5231,57.9006,57.2348
94.899,85.0443,60.036,56.6987
95.1592,85.4237,59.5946,56.1798
95.2415,85.1719,58.8859,56.1798
95.5414,84.9153,58.2339,56.1798
95.0971,85.3747,57.5578,56.9245
94.528,86.185,58.2759,57.9044
95.5887,86.7052,59.3021,58.7038
96.4715,86.8383,58.2397,59.5145
96.6158,87.0903,56.5677,59.3594
97.0769,87.2093,56.0478,58.7758
96.8531,87.2093,55.8389,58.0947
96.3947,87.3113,56.3327,57.3149
97.4291,87.5746,57.5214,56.8618
98.1767,87.9856,57.7319,56.5402
97.0148,88.2353,56.752,56.3479
96.044,88.8264,56.2391,56.2423
95.9581,90.721,56.4511,56.2374
96.4814,92.0245,56.8755,56.4494
96.5211,92.0245,58.5736,56.653
95.3629,91.4768,59.7802,56.9771
93.5741,90.1074,58.4061,57.2581
92.077,89.2857,57.3096,57.3677
90.4094,90.463,58.2112,57.4713
90.1751,91.9982,59.0858,57.4713
91.3312,92.3535,60.0461,57.4713
91.2883,93.6437,60.8849,56.903
89.0592,93.229,59.4668,56.2573
87.052,91.8115,58.1395,56.1798
86.6226,92.6347,57.3717,56.1798
85.7889,93.1677,56.6038,56.5724
85.6348,93.7255,58.0981,57.2181
85.3911,93.1451,59.7962,57.7631
83.8064,91.5578,57.0875,58.3244
82.8729,91.3269,53.7779,58.5399
82.6266,92.3565,53.2026,58.4259
82.645,93.389,52.9207,58.3658
82.645,93.9649,53.2363,58.3658
82.645,94.7596,54.4014,58.7911
82.645,95.6767,55.0021,59.9726
82.645,96.7582,54.2143,60.4974
82.645,97.6169,53.5714,59.8949
82.645,97.9552,53.1278,58.9085
82.645,98.1321,52.6579,57.2365
82.645,98.4546,53.0074,56.0365
